 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.79" , "0.10" , "2148.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "2.20" , "0.10" , "221.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "0.97" , "0.10" , "37586.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.80" , "0.10" , "396.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.10" , "0.10" , "40073.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.14" , "0.10" , "54659.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.23" , "0.10" , "8987.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "0.77" , "0.10" , "97564.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.25" , "0.10" , "9910.00" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "1.35" , "0.10" , "2311.00" ,
 "Biax-CH23-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "39.0" , "56.0" , "0.0" , "5.0" , "25.0" , "2.95" , "1.29" , "0.10" , "2596.00" ,
